Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;Aluno;Ano Ingresso;Tipo Ingresso;Curso Aluno;IRA;Escola 2G;Bolsa Apoio;Tipos Bolsa;Outras Bolsas;Nota Final;Cidade;Estado;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;O(A) docente cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a sua participação.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;O(A) docente deu retorno sobre todas as atividades realizadas.;A atuação e disponibilidade do(a) docente foram satisfatórias.;O(A) docente manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes.;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de cultura geral.;Sua motivação para estudar esta disciplina foi alta.;Você teve facilidade para acompanhar as atividades da disciplina.;Seu empenho durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica do polo foram compatíveis e atenderam ao desenvolvimento das atividades.;A atuação do(a) coordenador(a) de curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.;A atuação da UFJF em relação aos alunos e polo-UAB é satisfatória.
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;2EB93063B5133B902702FC537E7286CA;A;75A|75B|75D|75E|75F|75G|75J|75M|75N|75O|75P|76A;D69D3593ECFFB9644ED242C2B8C39438;2017;Vestibular;75P;77,52;ESCOLA ESTADUAL  PADRE HUMBERTO PIACENTE;N;;;91;GOVERNADOR VALADARES;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;A53D342A0C29664302A87AF3A4A74595;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;1CABAB6B9F5135EF0871375E055EC291;2016;Vestibular;75F;95,65;COLÉGIO PIO X;N;;;100;JUIZ DE FORA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;4;5;5;3
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;A53D342A0C29664302A87AF3A4A74595;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;EC77AAF4728179F945039C04B8229C8A;2010;Vestibular;75B;56,5;ESCOLA TÉCNICA DE SETE LAGOAS;N;;;73;BARBACENA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;E99EC943F2B3A7F8FDAA3E9F375B7173;2012;Vestibular;75B;59,08;ESCOLA ESTADUAL J/CENTRO EDUCACIONAL LIMA DUARTE;N;;;89;ANTONIO CARLOS;MG;5;5;5;4;5;5;5;4;5;5;5;5;5;5;3;4;3;5;5;5;5;4;3
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;1E04E58CA43129CF25C65C3EB552EB07;2014;Vestibular EAD Demanda Qualificada;75F;79,96;INSTITUTO DE EDUCAÇÃO PROFESSOR MANUEL MARINHO;N;;;100;JUIZ DE FORA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;3D47681691213568ECA81FF0B642595E;2012;Vestibular;75G;48,61;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;N;;;70;NOVORIZONTE;MG;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;8BF37D2928A7BBA9B592D17A53327A81;2014;Vestibular EAD Demanda Social;75M;36,95;ESCOLA ESTADUAL DES. APRIGIO RIBEIRO DE OLIVEIRA ;N;;;SC;SAO BRAS DO SUACUI;MG;4;4;4;4;3;3;4;3;5;5;5;4;4;4;3;4;3;4;4;3;4;4;4
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;1CABAB6B9F5135EF0871375E055EC291;2016;Vestibular;75F;95,65;COLÉGIO PIO X;N;;;95;JUIZ DE FORA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;4;5;5;3
2019;3;ALUNO_TURMA;67F315660AA9F46F4C8CCF975CFC917D;DEPTO DE CIENCIA DA COMPUTACAO /ICE;87DB8329C1926939874EDA4815EF0859;A;75A|75B|75C|75D|75E|75F|75G|75J|75K|75L|75M|75N|75O|75P;B2FB50B10E7FA5FC8CA3985C924E6A6F;2012;Vestibular;75G;51,73;ESCOLA  AGROTÉCNICA FEDERAL DE SALINAS;N;;;95;SALINAS;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;DA511CE93BF7DD9D65E4DD7EC2B5257C;DEPTO DE FISICA /ICE;EA9EAC472B2A6190529EB4B9C5BE5EE5;A;61A|61B|61D|61E|61F|61G|61H|61I|65E;D009A8D93C46893E823FEDDE612070C6;2015;Enem/Vaga de Edital;61F;64,3;ESCOLA ESTADUAL DOUTOR ADALMARIO JOSÉ DOS SANTOS;N;;;73;LAJINHA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;DA511CE93BF7DD9D65E4DD7EC2B5257C;DEPTO DE FISICA /ICE;EA9EAC472B2A6190529EB4B9C5BE5EE5;A;61A|61B|61D|61E|61F|61G|61H|61I|65E;78AB0D081EC466BA4104B832EC528208;2015;Matrícula como Graduado;61F;63,01;ESCOLA ESTADUAL PROFESSOR SOARES FERREIRA;N;;;71;MANHUMIRIM;MG;5;5;4;4;3;5;3;5;5;3;5;5;5;3;5;2;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;AC901F9E18676A5F2E057B13F0CBCD27;2016;Vestibular/ENEM;61B;70,55;ESCOLA ESTADUAL JOÁO MELO GOMIDE;N;;;70;PERDOES;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;C36A9C551D01F1E0B57526528B475AB1;2013;Enem/Vaga de Edital;61D;61,9;ESCOLA ESTADUAL LAURA XAVIER SANTANA;N;;;63;IPATINGA;MG;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;3;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;D009A8D93C46893E823FEDDE612070C6;2015;Enem/Vaga de Edital;61F;64,3;ESCOLA ESTADUAL DOUTOR ADALMARIO JOSÉ DOS SANTOS;N;;;67;LAJINHA;MG;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;78AB0D081EC466BA4104B832EC528208;2015;Matrícula como Graduado;61F;63,01;ESCOLA ESTADUAL PROFESSOR SOARES FERREIRA;N;;;61;MANHUMIRIM;MG;5;5;4;5;3;4;5;5;5;5;5;5;5;3;5;3;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;39B34B1498B5C87FF5DB1E76311BE04B;2018;Vestibular;61H;20,7;CI SESI/SENAI ROBSON BRAGA DE ANDRADE ENSINO FUNDAMENTAL E MÉDIO;N;;;2;SAO JOAO NEPOMUCENO;MG;5;5;5;5;4;5;5;5;5;5;5;5;5;5;3;3;3;5;5;5;5;5;5
2019;3;ALUNO_TURMA;1087060ED54211EB107F50D0ABF67FD3;DEPTO DE MATEMATICA /ICE;B528CA94615CA589A5548FE5311F174B;A;59B|59C|59E|59G|61A|61B|61D|61E|61F|61G|61H|61I|62A|62C|62D|62J|62K|62L|62M|62N|62O|62P|62Q;A251FC89CF1E3C21A99FF97B25E43E88;2013;Enem/Vaga de Edital;61F;48,1;ESCOLA ESTADUAL "QUINCA FRANCO";N;;;52;DURANDE;MG;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;5;2;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;BF136B02FDB6DCD1503EFDC59502D56B;2016;Vestibular;37P;86,7;ESCOLA ESTADUAL FRANCISCO ANTÔNIO PIRES;N;;;90;BARROSO;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;F45518A96693A04D853572B94D982D66;2017;Vestibular;37A;83,52;ESCOLA ESTADUAL MARIA ELBA BRAGA;N;;;72;JUIZ DE FORA;MG;4;4;4;3;4;3;3;4;4;4;4;4;3;4;4;3;3;4;3;3;4;4;4
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;34B20024E1C4237E386CCAB2755E9D28;2017;Vestibular;37A;78,9;ESCOLA ESTADUAL DEPUTADO OLIVEIRA SOUZA;N;;;89;JUIZ DE FORA;MG;5;5;4;4;4;5;5;5;5;5;5;5;4;5;4;4;4;4;4;3;4;4;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;1B723F116633389397AC41A735EBD739;2016;Vestibular;37P;85,55;ESCOLA ESTADUAL PROF. ALISSON PEREIRA GUIMARÃES ;N;;;79;MATIAS BARBOSA;MG;5;4;3;2;3;4;5;3;5;3;4;3;3;3;3;3;2;2;2;5;1;4;2
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;BA3F5F02D6576D94FC06913F63EEBD06;2016;Vestibular;37P;81,92;COLÉGIO SÃO JOSÉ;N;;;74;BARROSO;MG;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;3;0;0;0;0;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;8AFCFC82A7EEDCF6C1B7C7F38724486C;2016;Vestibular;37P;77,73;ESCOLA ESTADUAL ORDEM E PROGRESSO;N;;;84;BELO HORIZONTE;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;269F83F3C90A2AF7B0D9A836411A52F3;2016;Vestibular/ENEM;37P;76,59;ESCOLA ESTADUAL EMBAIXADOR JOSÉ BONIFÁCIO;N;;;86;BARBACENA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;C7FC957139BA90464F3FE6481B27631E;2016;Vestibular/ENEM;37F;86,91;ESCOLA ESTADUAL FERNADO GASPARIAN;N;;;86;CARMO DA CACHOEIRA;MG;4;3;4;3;3;3;3;3;4;2;4;4;4;4;3;5;4;5;3;3;3;4;4
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;1199372E49B207E6393D4B05C0DB0076;2016;Vestibular;37F;84,03;ESCOLA ESTADUAL PADRE JOÃO VIEIRA DA FONSÊCA;N;;;90;BOA ESPERANCA;MG;4;4;3;2;4;4;4;4;5;5;5;4;5;4;4;4;4;0;0;4;3;3;3
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;8585BB665038486DA00DABCE337FC9F4;2016;Vestibular;37F;83,82;ESCOLA COMENDADOR GERALDO FREIRE DA SILVA;N;;;84;VARGINHA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;B891C07E9C31D31567A1918A1F989BA0;2016;Vestibular;37F;79,36;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;N;;;77;BOA ESPERANCA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;7D31B9D4977E4AEA70906258F67A287C;2017;Vestibular;37Q;88,66;ESCOLA ESTADUAL CORONEL CELSO RESENDE;N;;;89;BARBACENA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;79DD9F28B8F398D590FDAF7C144F6ED0;2017;Vestibular;37Q;85,58;ESCOLA ESTADUAL CÔNEGO LUÍS VIEIRA DA SILVA;N;;;95;OURO BRANCO;MG;5;5;5;4;5;5;4;5;5;5;5;5;5;4;4;5;4;4;4;5;3;4;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;9958841279628ED4C8008DBEA843E35B;2017;Vestibular;37Q;82,48;COLÉGIO PROFESSOR ALCIDES FERREIRA;N;;;95;BARBACENA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;E983521E11A972929C37CFF18A9CE48A;2017;Vestibular;37Q;29,28;ESCOLA ESTADUAL NARCISO DE QUEIRÓS;N;;;10;CONSELHEIRO LAFAIETE;MG;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;2;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;ACDD7B70215FDE8F386CE5D96FD814E4;2016;Vestibular;37G;89,24;ESCOLA ESTADUAL LOREN RIOS FERES;N;;;80;ARAXA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;BF220376CC4951659DE8BA0A516F4349;2016;Vestibular;37G;85,18;ESCOLA ESTADUAL SÃO GERALDO;N;;;95;COROMANDEL;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;E25B0A54014BA202D5E84C547F0CF86A;2016;Vestibular;37G;83,76;RED/DIRETORIA DE ENSINO SUPLETIVO;N;;;95;COROMANDEL;MG;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;2;5;3;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;25E25359554DB14E345953F4B2E935A7;2016;Vestibular;37L;84,27;ESCOLA ESTADUAL EMÍLIA MARIA DINIZ;N;;;90;DURANDE;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;C7454B84FADE35D41D5C81CA41A417A5;2016;Vestibular/ENEM;37L;83,41;ESCOLA ESTADUAL DR. ADALMIRO JOSÉ DOS SANTOS;N;;;76;LAJINHA;MG;5;5;;3;3;4;2;2;4;3;4;5;5;5;3;3;4;1;1;4;4;4;4
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;C32FD9A48DA2C0867DF4430F3CD230DE;2016;Vestibular;37L;71,06;ESCOLA MUNICIPAL DRA MARIA DA CONCEIÇÃO OLIVEIRA RIBEIRO;N;;;85;MANHUMIRIM;MG;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;5;0;0;2;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;C864E150DA3FE556B75A4157F8C7FFD9;2016;Vestibular;37M;83,33;ESCOLA ESTADUAL CORONEL CALHÁU DE ENSINO FUNDAMENTAL E MÉDIO;N;;;89;IPANEMA;MG;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;0;5;3;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;380277F50647971AD859ACDF29FF8250;2016;Vestibular;37M;81,5;ESCOLA ESTADUAL CORONEL CALHÁU DE ENSINO FUNDAMENTAL E MÉDIO;N;;;88;IPANEMA;MG;4;5;4;3;4;5;4;5;5;3;5;5;5;5;3;4;5;1;3;0;0;1;0
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;D1070EC230DF515515400167D0D4E2DB;2016;Vestibular;37M;79,88;CESEC - VALDIR PINHEIRO DE LACERDA;N;;;83;IPANEMA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;4CBDB654DC325F29A93CAFAFFAA7C8B0;2016;Vestibular/ENEM;37M;76,35;ESCOLA ESTADUAL EUCLIDES PINTO DE OLIEIRA;N;;;77;IPANEMA;MG;5;5;5;5;5;5;5;5;5;5;5;;5;5;4;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;225047CA28D5C6B54F5FCBB8C826FEAA;2016;Vestibular/ENEM;37M;21,84;ESCOLA ESTADUAL ALBERTO GIOVANNINI;N;;;0;IPANEMA;MG;5;2;5;5;5;5;5;5;5;5;5;5;5;4;0;0;0;2;5;5;5;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;CD6C554FFF63A1166068AD1E4DE2EE1F;2017;Vestibular;37S;93,83;ESCOLA ESTADUAL ALBERTO GIOVANNINI;N;;;95;SANTANA DO PARAISO;MG;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;0;0;5;4;4;4
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;790FE7C38129DFF1AE5CAED9E3BF8127;2017;Vestibular;37S;90,62;ESCOLA ESTADUAL DOUTOR GERALDO PERLINGEIRO DE ABREU;N;;;95;CORONEL FABRICIANO;MG;4;4;3;4;4;5;2;4;5;3;5;4;4;4;4;5;4;5;4;5;5;4;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;80E0A1D94E07D1A856292E71336DC593;2017;Vestibular;37T;78,8;ESCOLA ESTADUAL PROFESSOR ORMINDO DE SOUZA LIMA;N;;;75;UBA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;3;3;3;5;5
2019;3;ALUNO_TURMA;CF193934E89EC8224095FF03B7EC1952;DEPARTAMENTO DE EDUCAÇÃO;3955DD176DE9DAE50E155B221AB76562;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;116B634DD538EF36F6F908D39B3E7CD7;2017;Vestibular;37T;71,81;Colegio e curso Avançar;N;;;93;UBA;MG;1;1;5;5;5;5;2;4;5;4;5;5;5;5;5;5;4;4;4;4;5;5;5
2019;3;ALUNO_TURMA;BCE8B6B65E6CF5B158A1DC7B22090BF3;DEPTO DE FISICA /ICE;2EA4AD0D054FB15CD83D3FFF34BC566D;A;61A|61B|61D|61E|61F|61G|61H|61I;051926A8CBB0709CC5DD5603CA86E7E2;2016;Vestibular/ENEM;61B;57,63;ESCOLA ESTADUAL DOUTOR JOSÉ MARQUES DE OLIVEIRA - 1º E 2º GRAUS;N;;;100;LAVRAS;MG;3;4;4;4;4;5;5;4;4;4;5;4;5;3;3;4;3;0;3;4;4;4;3
